influencer_name,platform,date,url,caption,reach,likes,comments
Grace Lee,instagram,2024-06-05,https://instagram.com/p/rst012,Skincare secrets revealed!,198000,16000,480
Michael Johnson,twitter,2024-06-10,https://twitter.com/status/jkl345,Startup insights,87000,4800,240
Emily Wang,instagram,2024-06-15,https://instagram.com/p/uvw678,Healthy eating tips!,123000,9500,320
Thomas Brown,youtube,2024-06-20,https://youtube.com/watch?v=xyz901,HIIT workout routine,156000,13000,410
Ava Garcia,instagram,2024-06-25,https://instagram.com/p/abc234,Beauty hacks that work!,187000,15000,450
William Kim,linkedin,2024-07-01,https://linkedin.com/posts/def567,Industry insights,92000,3800,190
Chloe Martinez,instagram,2024-07-05,https://instagram.com/p/ghi890,Fashion week highlights!,167000,14000,420
Ethan Wilson,youtube,2024-07-10,https://youtube.com/watch?v/jkl123,Weight training basics,145000,12000,380
Zoe Anderson,instagram,2024-07-15,https://instagram.com/p/mno456,Beauty transformation!,198000,17000,520
Alexander Lee,youtube,2024-07-20,https://youtube.com/watch?v=pqr789,Tech industry trends,89000,7200,270
Madison Taylor,instagram,2024-07-25,https://instagram.com/p/stu012,Food photography tips!,134000,10500,340
Benjamin Chen,youtube,2024-08-01,https://youtube.com/watch?v=vwx345,CrossFit workout,167000,14000,420
Lily Johnson,instagram,2024-08-05,https://instagram.com/p/yza678,Natural makeup look!,187000,15000,450
Samuel Brown,twitter,2024-08-10,https://twitter.com/status/bcd901,Innovation in tech,76000,4100,210
Hannah Davis,instagram,2024-08-15,https://instagram.com/p/efg234,Style inspiration!,156000,13000,410
Nathan Wilson,youtube,2024-08-20,https://youtube.com/watch?v=hij567,Functional training,134000,11000,350
Aria Garcia,instagram,2024-08-25,https://instagram.com/p/klm890,Beauty product haul!,198000,16000,480
Isaac Kim,linkedin,2024-09-01,https://linkedin.com/posts/nop123,Professional growth tips,92000,3900,200
Scarlett Martinez,instagram,2024-09-05,https://instagram.com/p/qrs456,Delicious recipes!,123000,9500,320
Owen Lee,youtube,2024-09-10,https://youtube.com/watch?v=tuv789,Bodyweight exercises,167000,14000,420
Luna Anderson,instagram,2024-09-15,https://instagram.com/p/wxy012,Skincare routine!,187000,15000,450
Caleb Taylor,youtube,2024-09-20,https://youtube.com/watch?v=zab345,Software development tips,89000,7500,280
Penelope Chen,instagram,2024-09-25,https://instagram.com/p/cde678,Fashion trends 2024!,145000,12000,380
Gabriel Wilson,youtube,2024-10-01,https://youtube.com/watch?v=fgh901,Strength and conditioning,134000,11000,350
Riley Brown,instagram,2024-10-05,https://instagram.com/p/ijk234,Beauty tutorial!,198000,16000,480
Leo Johnson,twitter,2024-10-10,https://twitter.com/status/lmn567,Digital transformation,87000,4600,230
Nora Davis,instagram,2024-10-15,https://instagram.com/p/opq890,Foodie paradise!,156000,12500,390 
